2021-08-03 12:54:30,820 [INFO] | {'bid': 110.89, 'ask': 110.96}
2021-08-03 12:54:31,754 [INFO] | {'bid': 138.57, 'ask': 138.59}
2021-08-03 12:54:31,767 [INFO] | {'bid': 38587.54, 'ask': 38588.06}
2021-08-03 12:54:31,777 [INFO] | {'bid': 38587.54, 'ask': 38588.06}
2021-08-03 12:54:31,795 [INFO] | {'bid': 38587.54, 'ask': 38588.06}
2021-08-03 12:54:31,837 [INFO] | {'bid': 138.57, 'ask': 138.61}
2021-08-03 12:54:31,839 [INFO] | {'bid': 392.94, 'ask': 393.17}
2021-08-03 12:54:31,871 [INFO] | {'bid': 392.92, 'ask': 393.17}
2021-08-03 12:54:31,891 [INFO] | {'bid': 0.06384, 'ask': 0.06386}
2021-08-03 12:54:31,953 [INFO] | {'bid': 325.64, 'ask': 325.692}
2021-08-03 12:54:31,964 [INFO] | {'bid': 325.64, 'ask': 325.641}
2021-08-03 12:54:31,966 [INFO] | {'bid': 233.92, 'ask': 234.08}
2021-08-03 12:54:31,997 [INFO] | {'bid': 233.92, 'ask': 234.06}
2021-08-03 12:54:32,022 [INFO] | {'bid': 157.35, 'ask': 157.41}
2021-08-03 12:54:32,114 [INFO] | {'bid': 157.35, 'ask': 157.42}
2021-08-03 12:54:32,125 [INFO] | {'bid': 157.35, 'ask': 157.45}
2021-08-03 12:54:32,135 [INFO] | {'bid': 157.35, 'ask': 157.46}
2021-08-03 12:54:32,616 [INFO] | {'bid': 534.1, 'ask': 534.14}
2021-08-03 12:54:32,623 [INFO] | {'bid': 534.1, 'ask': 534.15}
2021-08-03 12:54:32,888 [INFO] | {'bid': 110.89, 'ask': 110.97}
2021-08-03 12:54:33,823 [INFO] | {'bid': 38588.35, 'ask': 38591.7}
2021-08-03 12:54:33,882 [INFO] | {'bid': 138.57, 'ask': 138.59}
2021-08-03 12:54:33,898 [INFO] | {'bid': 138.53, 'ask': 138.59}
2021-08-03 12:54:33,898 [INFO] | {'bid': 392.94, 'ask': 393.17}
2021-08-03 12:54:33,938 [INFO] | {'bid': 0.06384, 'ask': 0.06386}
2021-08-03 12:54:33,938 [INFO] | {'bid': 392.94, 'ask': 393.18}
2021-08-03 12:54:33,955 [INFO] | {'bid': 0.06384, 'ask': 0.06385}
2021-08-03 12:54:34,049 [INFO] | {'bid': 325.628, 'ask': 325.641}
2021-08-03 12:54:34,077 [INFO] | {'bid': 325.563, 'ask': 325.641}
2021-08-03 12:54:34,094 [INFO] | {'bid': 233.92, 'ask': 234.06}
2021-08-03 12:54:34,104 [INFO] | {'bid': 233.87, 'ask': 234.06}
2021-08-03 12:54:34,118 [INFO] | {'bid': 233.87, 'ask': 234.08}
2021-08-03 12:54:34,176 [INFO] | {'bid': 157.35, 'ask': 157.44}
2021-08-03 12:54:34,189 [INFO] | {'bid': 157.35, 'ask': 157.44}
2021-08-03 12:54:34,200 [INFO] | {'bid': 157.32, 'ask': 157.44}
2021-08-03 12:54:34,408 [INFO] | {'bid': 110.96, 'ask': 110.97}
2021-08-03 12:54:34,485 [INFO] | {'bid': 110.96, 'ask': 110.97}
2021-08-03 12:54:34,521 [INFO] | {'bid': 110.96, 'ask': 110.99}
2021-08-03 12:54:34,535 [INFO] | {'bid': 110.96, 'ask': 111.0}
2021-08-03 12:54:34,653 [INFO] | {'bid': 534.1, 'ask': 534.17}
2021-08-03 12:54:34,668 [INFO] | {'bid': 534.1, 'ask': 534.21}
2021-08-03 12:54:34,683 [INFO] | {'bid': 534.1, 'ask': 534.28}
2021-08-03 12:54:34,694 [INFO] | {'bid': 534.3, 'ask': 534.31}
2021-08-03 12:54:34,864 [INFO] | {'bid': 534.3, 'ask': 534.31}
2021-08-03 12:54:35,054 [INFO] | {'bid': 534.3, 'ask': 534.35}
2021-08-03 12:54:35,062 [INFO] | {'bid': 534.3, 'ask': 534.39}
2021-08-03 12:54:35,075 [INFO] | {'bid': 534.3, 'ask': 534.43}
